,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
Amsterdam,9.82,2.49,5.71,8.22,12.50,14.79,17.08,17.12,14.48,11.39,6.98,4.42
Athenes,9.10,9.70,11.70,15.41,20.10,24.49,27.42,27.18,23.81,19.22,14.61,10.98
Berlin,-0.19,0.07,4.40,8.22,13.81,15.99,18.30,18.01,14.40,10.01,4.19,1.19
Bruxelles,3.33,3.32,6.69,8.90,12.80,15.59,17.80,17.79,15.01,11.09,6.71,4.42
Budapest,-1.08,0.79,5.52,11.60,16.99,20.20,21.98,21.29,16.91,11.31,5.11,0.69
Copenhague,-0.41,-0.42,1.29,5.82,11.10,15.39,17.08,16.59,13.29,8.80,4.10,1.29
Dublin,4.81,5.02,5.91,7.80,10.41,13.30,15.01,14.62,12.71,9.71,6.71,5.41
Helsinki,-5.81,-6.20,-2.70,3.12,10.21,13.99,17.19,14.92,9.71,5.21,0.08,-2.29
Kiev,-5.92,-4.99,-0.32,7.42,14.30,17.81,19.41,18.50,13.70,7.50,1.18,-3.58
Cracovie,-3.72,-2.02,1.92,7.91,13.19,16.92,18.41,17.60,13.70,8.58,2.59,-1.69
Lisbonne,10.48,11.29,12.81,14.50,16.69,19.41,21.52,21.89,20.40,17.40,13.69,11.08
Londres,3.38,4.20,5.52,8.29,11.91,15.09,16.91,16.48,13.99,10.18,6.29,4.42
Madrid,4.98,6.62,9.41,12.21,16.01,20.80,24.70,24.31,19.78,13.90,8.71,5.41
Minsk,-6.91,-6.20,-1.92,5.40,12.41,15.89,17.41,16.30,11.60,5.81,0.08,-4.22
Moscou,-9.27,-7.63,-2.02,6.01,12.99,16.58,18.30,16.71,11.19,5.08,-1.10,-6.01
Oslo,-4.32,-3.78,-0.61,4.41,10.31,14.89,16.91,15.40,11.11,5.69,0.49,-2.88
Paris,3.71,3.70,7.32,9.70,13.72,16.48,19.02,18.68,16.08,12.52,7.30,5.21
Prague,-1.30,0.18,3.62,8.79,14.30,17.61,19.30,18.68,14.89,9.40,3.78,0.30
Reykjavik,-0.30,0.07,0.80,2.89,6.51,9.31,11.12,10.59,7.91,4.52,1.68,0.20
Rome,7.12,8.21,10.48,13.70,17.81,21.70,24.41,24.09,20.89,16.49,11.68,8.29
Sarajevo,-1.41,0.79,4.89,9.28,13.81,17.02,18.91,18.68,15.22,10.48,5.11,0.79
Sofia,-1.68,0.18,4.30,9.70,14.30,17.71,20.02,19.50,15.80,10.70,5.02,0.59
Stockholm,-3.50,-3.50,-1.29,3.50,9.20,14.59,17.19,16.00,11.69,6.51,1.68,-1.59
Anvers,3.11,2.88,6.20,8.90,12.90,15.49,17.91,17.60,14.69,11.48,6.80,4.72
Barcelone,9.10,10.30,11.79,14.12,17.41,21.20,24.20,24.09,21.71,17.49,13.10,9.98
Bordeaux,5.58,6.73,9.02,11.91,14.99,18.31,20.41,19.99,17.60,13.51,8.49,6.11
Edimbourg,2.89,3.59,4.69,7.11,9.88,13.00,14.69,14.28,12.10,8.71,5.29,3.72
Francfort,0.19,1.78,5.42,9.70,14.30,17.51,19.02,18.31,14.81,9.79,4.88,1.69
Geneve,0.08,1.89,5.08,9.40,13.81,17.31,19.41,18.50,15.01,9.79,4.88,1.39
Genes,8.72,8.71,11.40,13.81,17.51,21.00,24.48,24.61,21.80,17.79,12.19,9.98
Milan,1.13,3.59,8.00,12.59,17.32,21.30,23.81,22.78,18.92,13.12,6.89,2.58
Palerme,10.48,11.51,13.30,16.90,20.88,23.79,24.48,22.30,22.29,18.40,14.88,12.02
Seville,10.70,11.79,14.08,16.10,19.71,23.39,26.70,26.70,24.30,19.39,14.51,11.18
St. Petersbourg,-8.17,-7.90,-3.72,3.19,10.02,15.39,18.41,16.89,11.48,5.21,-0.42,-5.32
Zurich,-0.69,0.68,4.30,8.48,12.90,16.19,18.01,17.19,14.11,8.88,3.92,0.30
