,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
Amsterdam,1.4577464788732397,0.05090909090909095,0.09856262833675555,-0.28083989501312295,-0.43119266055045874,-0.7891566265060245,-0.7142857142857145,-0.4986595174262733,-0.2798053527980536,0.0902777777777779,0.20131291028446407,0.3098591549295775
Athenes,1.3309859154929577,1.3618181818181816,1.328542094455852,1.6062992125984255,1.8929663608562695,2.132530120481927,2.1820728291316533,2.198391420911528,1.9902676399026757,1.9027777777777775,1.8708971553610503,1.6297786720321936
Berlin,-0.30457746478873243,-0.3890909090909091,-0.1704312114989733,-0.28083989501312295,-0.030581039755351574,-0.42771084337349397,-0.3725490196078427,-0.26005361930294874,-0.2992700729927008,-0.2291666666666667,-0.4091903719912471,-0.34004024144869216
Bruxelles,0.31514084507042256,0.20181818181818179,0.2997946611909651,-0.10236220472440913,-0.33944954128440347,-0.5481927710843375,-0.5126050420168062,-0.3190348525469172,-0.15085158150851605,0.020833333333333297,0.1422319474835887,0.3098591549295775
Budapest,-0.46126760563380287,-0.2581818181818182,0.059548254620123024,0.6062992125984253,0.9418960244648312,0.8403614457831323,0.6582633053221293,0.6193029490616618,0.3114355231143551,0.07175925925925937,-0.2078774617067832,-0.44064386317907445
Copenhague,-0.34330985915492956,-0.47818181818181815,-0.809034907597536,-0.9107611548556427,-0.8593272171253824,-0.6084337349397589,-0.7142857142857145,-0.6407506702412871,-0.569343065693431,-0.5092592592592591,-0.42888402625820565,-0.3199195171026157
Dublin,0.5757042253521126,0.5109090909090909,0.1396303901437371,-0.39107611548556415,-1.070336391437309,-1.2379518072289155,-1.2941176470588234,-1.1689008042895446,-0.7104622871046228,-0.2986111111111109,0.1422319474835887,0.5090543259557345
Helsinki,-1.2940140845070423,-1.529090909090909,-1.6283367556468173,-1.6194225721784774,-1.131498470948012,-1.0301204819277108,-0.6834733893557416,-1.0884718498659518,-1.4403892944038927,-1.3402777777777777,-1.308533916849015,-1.040241448692153
Kiev,-1.313380281690141,-1.309090909090909,-1.1396303901437372,-0.49081364829396307,0.11926605504587173,0.12048192771084296,-0.06162464985994366,-0.1286863270777481,-0.46958637469586406,-0.8101851851851851,-1.0678336980306344,-1.2997987927565393
Cracovie,-0.926056338028169,-0.7690909090909092,-0.6796714579055443,-0.36220472440944856,-0.22018348623853232,-0.14759036144578266,-0.3417366946778708,-0.3699731903485252,-0.46958637469586406,-0.5601851851851851,-0.7592997811816191,-0.9195171026156943
